ID,from,to,Value
1,unfoxmycablebox,tile,1
2,MSNBC,tile,1
3,chrislhayes,tile,1
4,blue_mitchell22,tile,1
5,MikeBloomberg,tile,1
6,ProjectLincoln,tile,1
7,RepAdamSchiff,tile,1
8,SimaforTX,tile,1
9,PeteButtigieg,tile,1
10,StephenAtHome,tile,1
11,devinnunesskin,tile,1
12,DevinCow,tile,1
13,AOC,tile,1
14,juliettekayyem,tile,1
15,BetoORourke,tile,1
16,nowthisnews,tile,1
17,AmityZapGrant,tile,1
18,mchvala,tile,1
19,NicolleDWallace,tile,1
20,SteveSchmidtSES,tile,1
21,maddow,tile,1
22,Lawrence,tile,1
23,GoJoeBruinUCLA,tile,1
24,curious_cruz,tile,1
25,billmaher,tile,1
26,iamjohnoliver,tile,1
27,Migs12,tile,1
28,avinashkunnath,tile,1
29,LastWeekTonight,tile,1
30,thucnhi21,tile,1
31,UCLA_Recruiting,tile,1
32,puntingwinning,tile,1
33,BruinNation,tile,1
34,Converse,tile,1
35,BillSimmons,tile,1
36,247Sports,tile,1
37,basketballtalk,tile,1
38,Edward__Lewis,tile,1
39,PacificTakes,tile,1
40,FakeBruinNation,tile,1
41,BruinReport,tile,1
42,UCLAFootball,tile,1
43,PaulTayar,tile,1
44,NateSilver538,tile,1
45,danieltosh,tile,1
46,BarackObama,tile,1
47,ddaoud,tile,1
48,OculusGaming,Bentley_CMT,1
49,uxheat,Bentley_CMT,1
50,BankSmartSonia,Bentley_CMT,1
51,mrbobland,Bentley_CMT,1
52,eventbrite,Bentley_CMT,1
53,CustPortfolios,Bentley_CMT,1
54,mtretail,Bentley_CMT,1
55,salesforce,Bentley_CMT,1
56,socialmedia2day,Bentley_CMT,1
57,jimpouli,Bentley_CMT,1
58,ValenteCenter,Bentley_CMT,1
59,Reuters,Bentley_CMT,1
60,ReutersBiz,Bentley_CMT,1
61,Sophaya_Inc,Bentley_CMT,1
62,SophiaThink,Bentley_CMT,1
63,INBOUND,Bentley_CMT,1
64,USPS,Bentley_CMT,1
65,HubSpotAcademy,Bentley_CMT,1
66,Digilant_US,Bentley_CMT,1
67,jillehrman95,Bentley_CMT,1
68,Keurig,Bentley_CMT,1
69,helloendless,Bentley_CMT,1
70,NewBreedMktg,Bentley_CMT,1
71,bentleyadvising,Bentley_CMT,1
72,BentleySGA,Bentley_CMT,1
73,UGABentley,Bentley_CMT,1
74,BentleyMCC,Bentley_CMT,1
75,liannewade,Bentley_CMT,1
76,alanosetek,Bentley_CMT,1
77,NEDMA,Bentley_CMT,1
78,adversaising,Bentley_CMT,1
79,telerob,Bentley_CMT,1
80,eMarketJournal,Bentley_CMT,1
81,PreparedU,Bentley_CMT,1
82,bentleyu_news,Bentley_CMT,1
83,BentleySALC,Bentley_CMT,1
84,gsabentley,Bentley_CMT,1
85,NateSilver538,Bentley_CMT,1
86,vinc_sc,Bentley_CMT,1
87,ClaytonThe4th,Bentley_CMT,1
88,ouibonbon,Bentley_CMT,1
89,PSFK,Bentley_CMT,1
90,nikolajbirjukow,Bentley_CMT,1
91,Adweek,Bentley_CMT,1
92,BentleyCareerGR,Bentley_CMT,1
93,washingtonpost,Bentley_CMT,1
94,mullenloweus,Bentley_CMT,1
95,Ogilvy,Bentley_CMT,1
96,BentleyWC,Bentley_CMT,1
97,TEDTalks,Bentley_CMT,1
98,cnnbrk,Bentley_CMT,1
99,BentleyLibrary,Bentley_CMT,1
100,Digitas,Bentley_CMT,1
101,BentleyCareerAL,Bentley_CMT,1
102,BostInno,Bentley_CMT,1
103,BentleyUCareers,Bentley_CMT,1
104,hillholliday,Bentley_CMT,1
105,BentleyCISS,Bentley_CMT,1
106,BentleyDining,Bentley_CMT,1
107,BarackObama,Bentley_CMT,1
108,BentleyGSAS,Bentley_CMT,1
109,89Degrees,Bentley_CMT,1
110,Bentley_SPE,Bentley_CMT,1
