,username,tweet,time,retweet,fav
0,tile,What about the Bentley Continental GT that every student athlete got too? Some of them got beachfront homes too!!! Why focus on crappy headphones? Aim high and grab the brass ring with your stories man!,2020-04-24 17:34:29+00:00,0,0
1,Bentley_CMT,Help Bentley students raise money for the Bentley Emergency Assistance Fund (EAF) to help out students in dire financial straits. Visit and share their online pop-up store at https://keep-the-beat-going.myshopify.com Hurry the store closes on April 29th! #keetthebeatgoing #bentleyuniversity,2020-04-24 15:42:59+00:00,0,0
2,CoBrevard,Bentley Institute Announces Digital Infrastructure Student Challenge https://ift.tt/3cJuyQl #roofing #florida #brevardcounty,2020-04-24 04:01:32+00:00,0,0
3,directionsmag,"""Bentley Institute announces “Digital Infrastructure Student Idea Challenge 2020”"" https://www.directionsmag.com/pressrelease/9744 #GIS",2020-04-23 16:12:27+00:00,0,0
4,AlanCowgill,"https://bit.ly/MarcoDeals Well over a decade ago I met a guy named Marco. I met his family. His children are named Bentley and Mercedes, which I found memorable I have watched him travel all over the world helping his students-teaches how to do big deals ",2020-04-23 01:47:33+00:00,0,0
5,Keep_Beat_Going,Our Keep The Beat Going team of Bentley students cares deeply for those impacted by Covid-19 To do our part we have partnered with the Bentley University emergency Assistance Fund to ensure that all proceeds from our products go directly to helping students in need #COVID19,2020-04-23 00:07:32+00:00,0,0
6,LCC1HS,HS Students: Mrs. Bentley sent out an email today with a Husker Check In form. Please take a few minutes to complete the form. Link is also here: ,2020-04-22 17:48:16+00:00,0,0
7,FAjutor,"We started seeing S550 since 2015, GWagon same, Range Rovers is now like Lexus, How many of ur students have Bentley’s, GLE 450’s, GLA’s BMW I8 and more",2020-04-22 15:36:53+00:00,0,0
8,ArturKr18200490,I encourage AGH UST students to take part in the Bentley Systems competition - this prize can be won ... both 5000 USD and 2000 USD more details https://communities.bentley.com/communities/other_communities/be_careers_network_for_academia/w/be_careers_network__wiki/43819/digital-infrastructure-student-idea-challenge-2020,2020-04-22 11:24:07+00:00,0,0
9,HCBentley,Support Bentley Students! ,2020-04-21 14:29:41+00:00,0,0
10,RegularLodz,Just got a pang of nostalgia from the Millbrook Bentley story - I briefly worked there on placement. I was asked to take 3 students interviewing for next years' intake on a track tour after the assessment. 1/2,2020-04-20 17:43:16+00:00,0,0
11,levyandrewes,"S: and do you know how much that pack costs? G: $14 a pack maybe. Student calculated for a bit on his phone. S: Did you know, if you stoped smoking today, you’d be able to afford that Bentley right there in about 12 years? G: I didn’t. Do you smoke yourself? 2/3",2020-04-20 03:19:14+00:00,0,0
12,FreebornManish,"Poor kids, minorities and illegals get school paid for, the Chinese students drive Bentley’s, nobody’s living in the dorms, the maintenance guys are union, the school year isn’t over. Where’s the money going to go?",2020-04-17 21:03:03+00:00,0,0
13,bentleyschool,"In between classes, our teachers across Bentley are stepping in to bring campus life home to everyone. In Ms. Almeida's Legtastic Workout - an optional session of yoga, squats, lunges and stretching - our #MiddleSchool students are getting their move on! #remoteteaching",2020-04-16 23:20:23+00:00,0,0
14,oilcitywyo,"Erin Bentley, a UW second-year master’s student, majoring in botany, will explore the Arctic aboard a research ship next summer. Bentley is one of 40 artists and scientists selected for the program. https://oilcity.news/wyoming/2020/04/15/uw-student-selected-for-arctic-circle-expedition/",2020-04-15 18:32:55+00:00,0,0
15,ZevYoung,"Thank you to sales leader @parks6n580 for spending his time last night with my Effective Selling students at Bentley University via Zoom Video Communications - Jeff spoke to the students about a number of topics including: The 3 Why’s in Sales, Target Acc…",2020-04-15 12:18:14+00:00,0,0
16,Doxsburneracct,And I deserve a Bentley and not paying student loans for 12 yrs ,2020-04-13 21:16:23+00:00,0,0
17,Garrett_814,Thanks for letting me borrow the Bentley for senior prom to flex in front of all the high school students that called me a loser all 4 years man. Appreciate it ,2020-04-09 23:33:11+00:00,0,0
18,elmy_hamid,Bentley STAAD Pro V8i Crack Software Download [Free_Student_Training] ,2020-04-09 20:10:08+00:00,0,0
19,Dr_TPerez,My pup Bentley sent a lovable reminder to my students about virtual office hours. It worked! I must repay him with treats and hugs! #AcademicTwitter #dogsoftwitter #teacherlife,2020-04-08 16:14:09+00:00,0,0
20,MidSouthCFCU,"Attention high school seniors & continuing education college students ... The application deadline for our Tom Bentley Memorial Scholarship has been extended! Download an application from the Scholarship tab featured at http://www.midsouthfcu.org/other-services . NEW deadline: Monday, May 18th",2020-04-07 20:24:19+00:00,0,0
21,moddern,Bentley STAAD Pro V8i Crack Software Download [Free_Student_Training] ,2020-04-07 13:09:09+00:00,0,0
22,dailycadcam,Bentley Institute Launches Digital Infrastructure Student Idea Challenge 2020 http://www.dailycadcam.com/bentley-institute-launches-digital-infrastructure-student-idea-challenge-2020/ @BentleyAsia,2020-04-07 07:43:21+00:00,0,0
23,FerrisHonors,"We have a month left to go in the semester! If you're struggling to find the motivation to finish strong, we have Dr. Jason Bentley from Retention &amp; Student Success giving a presentation on ""Channeling the Power of Motivation"" on Tuesday, April 7 at 11:00-11:50 AM in Science 102. ",2020-04-06 16:02:20+00:00,0,0
24,nittinpatil,Bentley Institute Launches Digital Infrastructure Student Idea Challenge 2020 http://www.dailycadcam.com/bentley-institute-launches-digital-infrastructure-student-idea-challenge-2020/#.XorbBu4b97I.twitter #BentleyInstitute @BentleySystems #digitalinfrastructure #studentideachallenge2020,2020-04-06 07:33:09+00:00,0,0
